time(sec),x,z
1.615636,-1.322496,5.171315
1.68405,-1.459621,5.012733
1.700899,-1.491717,4.967487
1.752217,-1.491717,4.967487
1.822613,-1.491717,4.967487
1.895349,-1.491717,4.967487
1.968712,-1.545538,4.881688
2.04473,-1.714423,4.402114
2.121083,-1.68964,3.856352
2.197381,-1.666001,3.772813
2.270211,-1.659275,3.752173
2.346576,-1.623639,3.657366
2.422116,-1.570055,3.544009
2.505345,-1.754643,3.107815
2.663522,-2.257472,2.477586
2.742863,-2.529531,2.184348
2.827997,-2.802841,1.892284
2.844848,-2.868376,1.81965
2.917611,-3.004156,1.600801
3.006139,-3.310271,1.227621
3.095748,-3.583646,0.9357495
3.186599,-3.925286,0.5706775
3.276451,-4.198601,0.2786274
3.367354,-4.540237,-0.08645368
3.450241,-4.81357,-0.3784966
3.536942,-5.086884,-0.6705565
3.621766,-5.428532,-1.035607
3.708349,-5.701999,-1.327209
3.79442,-5.975308,-1.619274
3.885517,-6.316946,-1.984355
3.972082,-6.590255,-2.27642
4.060064,-6.931892,-2.641501
4.23724,-7.460756,-3.241957
4.322796,-7.460756,-3.241957
4.410782,-7.460756,-3.241957
4.427639,-7.473214,-3.230561
4.503387,-7.16808,-3.444616
4.590006,-6.382574,-3.590201
4.677774,-5.505588,-3.139491
4.765091,-5.249275,-2.725295
4.851103,-5.152765,-2.177959
4.944228,-5.238903,-1.73482
5.047602,-5.26685,-1.665475
5.135059,-5.26685,-1.665475
5.218533,-5.26685,-1.665475
5.301316,-5.26685,-1.665475
5.370061,-5.287894,-1.619404
5.44354,-5.494389,-1.306238
5.514208,-5.655166,-1.150162
5.586314,-5.402598,-0.8399791
5.73279,-4.563346,-0.826993
5.793988,-4.197084,-1.016944
5.863779,-3.799721,-0.9685253
5.880631,-3.700925,-0.9530554
5.930443,-3.503331,-0.9221374
6.000632,-3.099894,-0.9224042
6.075525,-2.796088,-1.12791
6.154895,-2.423882,-1.35116
6.231015,-2.154537,-1.778162
6.30387,-1.818879,-1.998636
6.380637,-1.434356,-2.125522
6.462818,-1.020637,-2.173049
6.54807,-0.5876175,-2.106368
6.633998,-0.182032,-2.106284
6.721056,0.3218793,-2.096731
6.808873,0.7248345,-1.989546
6.897967,1.115243,-1.844664
6.978514,1.457352,-1.542858
7.059792,1.820797,-1.369387
7.137003,2.196906,-1.233225
7.213973,2.572987,-1.09702
7.28983,2.949104,-0.9608813
7.362731,3.325227,-0.8247749
7.432403,3.606482,-0.7203805
7.501527,3.982339,-0.5836153
7.570432,4.264247,-0.4810109
7.643482,4.677605,-0.4638277
7.718855,5.012092,-0.6776215
7.783991,5.412135,-0.6763382
7.857413,5.712475,-0.7387429
7.931106,6.105249,-0.8617765
7.999125,6.399718,-0.9260343
8.067657,6.796478,-0.9768367
8.214024,7.464863,-1.207949
8.290321,7.847718,-1.325594
8.368167,7.753377,-1.583394
8.385443,7.708388,-1.668723
8.444956,7.639819,-1.776562
8.526241,7.43924,-2.004075
8.605551,7.031312,-2.261457
8.688869,6.59832,-2.361024
8.773765,6.331141,-2.352394
8.858664,6.061482,-2.289394
8.948167,5.746359,-2.134335
9.041718,5.752404,-2.138312
time(sec),x,z
0,0,0
0,0.1708172,-0.01059723
0.02000046,0.1831774,0.08863592
0.03871059,0.1955375,0.1878692
0.05562401,0.2078979,0.2871003
0.08939743,0.2302254,0.4858546
0.106245,0.2282144,0.5867032
0.1600266,0.1591517,0.7926292
0.2344351,0.1290772,1.193564
0.3678875,0.1290772,1.193564
0.4332666,0.1290772,1.193564
0.4995823,0.1290772,1.193564
0.5164309,0.1290772,1.193564
0.5661163,0.1266653,1.193588
0.6306896,0.1266653,1.193588
0.6987019,0.1266653,1.193588
0.7624817,0.1266653,1.193588
0.8245029,0.1266653,1.193588
0.8881502,0.1266653,1.193588
0.9514313,0.1266653,1.193588
1.016683,0.1266653,1.193588
1.080816,0.1266653,1.193588
1.148232,0.1266653,1.193588
1.214074,0.1266653,1.193588
1.280795,0.1266653,1.193588
1.34769,0.1266653,1.193588
1.410576,0.1266653,1.193588
1.475936,0.1218413,1.193621
1.538957,0.1194293,1.193632
1.604424,0.1194293,1.193632
1.667772,0.1194293,1.193632
1.731915,0.1194293,1.193632
1.794448,0.1194293,1.193632
1.858142,0.1194293,1.193632
1.920229,0.1194293,1.193632
1.982044,0.1194293,1.193632
